endereco,latitude,longitude,resale_price,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease
"330 SEMBAWANG CL, SEMBAWANG, Singapore",1.4466914,103.8180590179067,430000.0,2017-05,SEMBAWANG,5 ROOM,330,SEMBAWANG CL,07 TO 09,115.0,Improved,1999.0,81 years 02 months
"325 SEMBAWANG CRES, SEMBAWANG, Singapore",1.44438725,103.8190263,439000.0,2017-05,SEMBAWANG,5 ROOM,325,SEMBAWANG CRES,10 TO 12,123.0,Improved,1999.0,81 years 01 month
"589B MONTREAL DR, SEMBAWANG, Singapore",1.4498025,103.82555871425556,442000.0,2017-05,SEMBAWANG,5 ROOM,589B,MONTREAL DR,10 TO 12,110.0,Improved,2002.0,84 years 07 months
"471 SEMBAWANG DR, SEMBAWANG, Singapore",1.45193485,103.81588925514,482000.0,2017-05,SEMBAWANG,EXECUTIVE,471,SEMBAWANG DR,13 TO 15,130.0,Apartment,2000.0,82 years 02 months
"501D WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.4511823,103.8222636285523,495000.0,2017-05,SEMBAWANG,EXECUTIVE,501D,WELLINGTON CIRCLE,01 TO 03,130.0,Apartment,2001.0,83 years 03 months
"507D WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.4513933,103.8227944451458,495000.0,2017-05,SEMBAWANG,EXECUTIVE,507D,WELLINGTON CIRCLE,01 TO 03,130.0,Apartment,2001.0,83 years 03 months
"310 CANBERRA RD, SEMBAWANG, Singapore",1.4470136,103.82200328481224,510000.0,2017-05,SEMBAWANG,EXECUTIVE,310,CANBERRA RD,01 TO 03,143.0,Maisonette,1998.0,80 years 05 months
"441D FERNVALE RD, SENGKANG, Singapore",,,360000.0,2017-05,SENGKANG,4 ROOM,441D,FERNVALE RD,01 TO 03,93.0,Model A,2012.0,93 years 09 months
"306C ANCHORVALE LINK, SENGKANG, Singapore",1.3898492,103.888146,365000.0,2017-05,SENGKANG,4 ROOM,306C,ANCHORVALE LINK,04 TO 06,90.0,Model A,2002.0,83 years 08 months
"146 RIVERVALE DR, SENGKANG, Singapore",1.3902923,103.906472798861,366888.0,2017-05,SENGKANG,4 ROOM,146,RIVERVALE DR,13 TO 15,100.0,Model A,1999.0,81 years 04 months
"314A ANCHORVALE LINK, SENGKANG, Singapore",1.3909882,103.88917682361112,370388.0,2017-05,SENGKANG,4 ROOM,314A,ANCHORVALE LINK,04 TO 06,92.0,Premium Apartment,2003.0,85 years
"132 RIVERVALE ST, SENGKANG, Singapore",1.3899662,103.9036537613492,375000.0,2017-05,SENGKANG,4 ROOM,132,RIVERVALE ST,07 TO 09,101.0,Model A,1999.0,80 years 11 months
"122 SENGKANG EAST WAY, SENGKANG, Singapore",1.38668105,103.90687199326692,375000.0,2017-05,SENGKANG,4 ROOM,122,SENGKANG EAST WAY,13 TO 15,91.0,Model A,2000.0,82 years 03 months
"120A RIVERVALE DR, SENGKANG, Singapore",1.3860817,103.9039272494465,380000.0,2017-05,SENGKANG,4 ROOM,120A,RIVERVALE DR,07 TO 09,102.0,Premium Apartment,2001.0,82 years 10 months
"114 RIVERVALE WALK, SENGKANG, Singapore",1.38409845,103.90115686424848,410000.0,2017-05,SENGKANG,4 ROOM,114,RIVERVALE WALK,16 TO 18,102.0,Model A,1998.0,80 years 06 months
"116C RIVERVALE DR, SENGKANG, Singapore",1.3822147,103.9030234671812,428888.0,2017-05,SENGKANG,4 ROOM,116C,RIVERVALE DR,07 TO 09,95.0,Model A,2000.0,82 years 02 months
"268A COMPASSVALE LINK, SENGKANG, Singapore",1.38423855,103.89648576765016,480000.0,2017-05,SENGKANG,4 ROOM,268A,COMPASSVALE LINK,16 TO 18,90.0,Premium Apartment,2006.0,87 years 09 months
"271B SENGKANG CTRL, SENGKANG, Singapore",1.3855037499999998,103.89454759162194,510000.0,2017-05,SENGKANG,4 ROOM,271B,SENGKANG CTRL,13 TO 15,93.0,Premium Apartment,2010.0,92 years
"275A COMPASSVALE LINK, SENGKANG, Singapore",1.3828713,103.894625828401,520000.0,2017-05,SENGKANG,4 ROOM,275A,COMPASSVALE LINK,10 TO 12,90.0,Premium Apartment,2009.0,91 years 01 month
"292A COMPASSVALE ST, SENGKANG, Singapore",1.39613415,103.89916700744284,381000.0,2017-05,SENGKANG,5 ROOM,292A,COMPASSVALE ST,01 TO 03,110.0,Improved,2002.0,83 years 08 months
"122D RIVERVALE DR, SENGKANG, Singapore",1.38721235,103.90587345270583,400000.0,2017-05,SENGKANG,5 ROOM,122D,RIVERVALE DR,13 TO 15,110.0,Improved,2000.0,82 years 02 months
"158D RIVERVALE CRES, SENGKANG, Singapore",1.38851735,103.90722198233216,408000.0,2017-05,SENGKANG,5 ROOM,158D,RIVERVALE CRES,13 TO 15,111.0,Premium Apartment,2003.0,85 years 04 months
"121D SENGKANG EAST WAY, SENGKANG, Singapore",1.3869530127627596,103.90720236544858,410000.0,2017-05,SENGKANG,5 ROOM,121D,SENGKANG EAST WAY,10 TO 12,110.0,Improved,2000.0,82 years 05 months
"157A RIVERVALE CRES, SENGKANG, Singapore",1.3885527733943086,103.90785444442524,415000.0,2017-05,SENGKANG,5 ROOM,157A,RIVERVALE CRES,13 TO 15,112.0,Premium Apartment,2003.0,85 years 05 months
"121C SENGKANG EAST WAY, SENGKANG, Singapore",1.3869530127627596,103.90720236544858,418000.0,2017-05,SENGKANG,5 ROOM,121C,SENGKANG EAST WAY,04 TO 06,110.0,Improved,2000.0,82 years 04 months
"119B RIVERVALE DR, SENGKANG, Singapore",1.38436815,103.9028852408195,419888.0,2017-05,SENGKANG,5 ROOM,119B,RIVERVALE DR,04 TO 06,121.0,Premium Apartment,2001.0,82 years 10 months
"301A ANCHORVALE DR, SENGKANG, Singapore",1.38916525,103.89185392216822,420000.0,2017-05,SENGKANG,5 ROOM,301A,ANCHORVALE DR,07 TO 09,110.0,Improved,2001.0,83 years 03 months
"291A COMPASSVALE ST, SENGKANG, Singapore",1.39571895,103.8977907080234,420000.0,2017-05,SENGKANG,5 ROOM,291A,COMPASSVALE ST,07 TO 09,110.0,Improved,2001.0,83 years 02 months
"301B ANCHORVALE DR, SENGKANG, Singapore",1.3893534,103.89148447884617,425000.0,2017-05,SENGKANG,5 ROOM,301B,ANCHORVALE DR,01 TO 03,110.0,Improved,2001.0,83 years 03 months
"319C ANCHORVALE DR, SENGKANG, Singapore",1.39087455,103.89051071833988,426000.0,2017-05,SENGKANG,5 ROOM,319C,ANCHORVALE DR,01 TO 03,110.0,Improved,2002.0,84 years 03 months
"190A RIVERVALE DR, SENGKANG, Singapore",1.3939199906469584,103.90211099471811,438000.0,2017-05,SENGKANG,5 ROOM,190A,RIVERVALE DR,16 TO 18,115.0,Improved,2000.0,82 years
"306A ANCHORVALE LINK, SENGKANG, Singapore",1.3901365,103.88906224120112,447000.0,2017-05,SENGKANG,5 ROOM,306A,ANCHORVALE LINK,16 TO 18,110.0,Improved,2002.0,83 years 11 months
"412B FERNVALE LINK, SENGKANG, Singapore",,,469150.0,2017-05,SENGKANG,5 ROOM,412B,FERNVALE LINK,22 TO 24,114.0,Premium Apartment,2004.0,86 years
"237 COMPASSVALE WALK, SENGKANG, Singapore",1.3899360500000002,103.89855672258469,470000.0,2017-05,SENGKANG,5 ROOM,237,COMPASSVALE WALK,07 TO 09,122.0,Improved,1999.0,81 years 05 months
"413A FERNVALE LINK, SENGKANG, Singapore",,,470000.0,2017-05,SENGKANG,5 ROOM,413A,FERNVALE LINK,16 TO 18,114.0,Premium Apartment,2004.0,85 years 10 months
"409B FERNVALE RD, SENGKANG, Singapore",,,482000.0,2017-05,SENGKANG,5 ROOM,409B,FERNVALE RD,22 TO 24,115.0,Premium Apartment,2004.0,86 years 07 months
"407B FERNVALE RD, SENGKANG, Singapore",,,485000.0,2017-05,SENGKANG,5 ROOM,407B,FERNVALE RD,22 TO 24,110.0,Premium Apartment,2005.0,86 years 08 months
"260A SENGKANG EAST WAY, SENGKANG, Singapore",1.393278,103.89540571208632,505000.0,2017-05,SENGKANG,5 ROOM,260A,SENGKANG EAST WAY,07 TO 09,110.0,Improved,2001.0,82 years 08 months
"232 COMPASSVALE WALK, SENGKANG, Singapore",1.3904214499999998,103.90125181114274,506800.0,2017-05,SENGKANG,5 ROOM,232,COMPASSVALE WALK,13 TO 15,123.0,Improved,1999.0,81 years 02 months
"268D COMPASSVALE LINK, SENGKANG, Singapore",1.3850022000000002,103.89586143526073,515000.0,2017-05,SENGKANG,5 ROOM,268D,COMPASSVALE LINK,07 TO 09,110.0,Premium Apartment,2006.0,87 years 09 months
"312B ANCHORVALE LANE, SENGKANG, Singapore",1.39169495,103.8854861515464,500000.0,2017-05,SENGKANG,EXECUTIVE,312B,ANCHORVALE LANE,16 TO 18,127.0,Premium Apartment,2002.0,84 years 06 months
"250C COMPASSVALE ST, SENGKANG, Singapore",1.3947913,103.89981555,530000.0,2017-05,SENGKANG,EXECUTIVE,250C,COMPASSVALE ST,01 TO 03,129.0,Apartment,2000.0,82 years 02 months
"122C SENGKANG EAST WAY, SENGKANG, Singapore",1.3876827,103.906639,535000.0,2017-05,SENGKANG,EXECUTIVE,122C,SENGKANG EAST WAY,10 TO 12,130.0,Apartment,2000.0,82 years 01 month
"313D ANCHORVALE RD, SENGKANG, Singapore",1.3921016,103.8878653970888,545000.0,2017-05,SENGKANG,EXECUTIVE,313D,ANCHORVALE RD,07 TO 09,125.0,Premium Apartment,2003.0,85 years 01 month
"138 RIVERVALE ST, SENGKANG, Singapore",1.388622,103.90457902191156,575000.0,2017-05,SENGKANG,EXECUTIVE,138,RIVERVALE ST,16 TO 18,142.0,Apartment,1999.0,80 years 09 months
"530 SERANGOON NTH AVE 4, SERANGOON, Singapore",,,360000.0,2017-05,SERANGOON,4 ROOM,530,SERANGOON NTH AVE 4,04 TO 06,103.0,Model A,1992.0,74 years 06 months
"518 SERANGOON NTH AVE 4, SERANGOON, Singapore",,,360000.0,2017-05,SERANGOON,4 ROOM,518,SERANGOON NTH AVE 4,01 TO 03,104.0,Model A,1992.0,74 years 06 months
"111 SERANGOON NTH AVE 1, SERANGOON, Singapore",,,365000.0,2017-05,SERANGOON,4 ROOM,111,SERANGOON NTH AVE 1,04 TO 06,91.0,New Generation,1985.0,67 years 03 months
"538 SERANGOON NTH AVE 4, SERANGOON, Singapore",,,385000.0,2017-05,SERANGOON,4 ROOM,538,SERANGOON NTH AVE 4,07 TO 09,103.0,Model A,1992.0,74 years 05 months
"141 SERANGOON NTH AVE 2, SERANGOON, Singapore",,,420000.0,2017-05,SERANGOON,4 ROOM,141,SERANGOON NTH AVE 2,04 TO 06,107.0,Model A,1989.0,71 years
"521 SERANGOON NTH AVE 4, SERANGOON, Singapore",,,420000.0,2017-05,SERANGOON,4 ROOM,521,SERANGOON NTH AVE 4,07 TO 09,106.0,Model A,1992.0,74 years 06 months
"208 SERANGOON CTRL, SERANGOON, Singapore",1.3535142,103.8716163518423,445000.0,2017-05,SERANGOON,4 ROOM,208,SERANGOON CTRL,01 TO 03,83.0,Simplified,1985.0,67 years 06 months
"325 SERANGOON AVE 3, SERANGOON, Singapore",1.3509789,103.8685931952705,515000.0,2017-05,SERANGOON,4 ROOM,325,SERANGOON AVE 3,04 TO 06,84.0,Simplified,1986.0,68 years
"409 SERANGOON CTRL, SERANGOON, Singapore",1.3481535,103.87449456152429,618000.0,2017-05,SERANGOON,4 ROOM,409,SERANGOON CTRL,04 TO 06,103.0,Model A,1989.0,70 years 08 months
"549 SERANGOON NTH AVE 3, SERANGOON, Singapore",,,515000.0,2017-05,SERANGOON,5 ROOM,549,SERANGOON NTH AVE 3,01 TO 03,120.0,Improved,1997.0,79 years 06 months
"532 SERANGOON NTH AVE 4, SERANGOON, Singapore",,,518000.0,2017-05,SERANGOON,5 ROOM,532,SERANGOON NTH AVE 4,07 TO 09,122.0,Improved,1992.0,74 years 06 months
"411 SERANGOON CTRL, SERANGOON, Singapore",1.3486068,103.87385378466894,662500.0,2017-05,SERANGOON,5 ROOM,411,SERANGOON CTRL,07 TO 09,132.0,Improved,1989.0,70 years 11 months
"329 SERANGOON AVE 3, SERANGOON, Singapore",1.349869,103.86876233908026,685000.0,2017-05,SERANGOON,5 ROOM,329,SERANGOON AVE 3,01 TO 03,122.0,Improved,1986.0,68 years 02 months
"416 SERANGOON CTRL, SERANGOON, Singapore",1.3502102,103.874855649039,768000.0,2017-05,SERANGOON,5 ROOM,416,SERANGOON CTRL,07 TO 09,121.0,Improved,1989.0,71 years
"851 TAMPINES ST 83, TAMPINES, Singapore",1.3529114999999998,103.93499113571428,288000.0,2017-05,TAMPINES,3 ROOM,851,TAMPINES ST 83,01 TO 03,74.0,Model A,1987.0,69 years 06 months
"405 TAMPINES ST 41, TAMPINES, Singapore",1.3578464,103.9449039,295000.0,2017-05,TAMPINES,3 ROOM,405,TAMPINES ST 41,10 TO 12,69.0,Improved,1985.0,67 years 05 months
"217 TAMPINES ST 23, TAMPINES, Singapore",1.35431745,103.951784813098,318000.0,2017-05,TAMPINES,3 ROOM,217,TAMPINES ST 23,04 TO 06,67.0,New Generation,1986.0,67 years 09 months
"252 TAMPINES ST 21, TAMPINES, Singapore",1.35275585,103.94883625,325000.0,2017-05,TAMPINES,3 ROOM,252,TAMPINES ST 21,01 TO 03,67.0,New Generation,1985.0,66 years 09 months
"111 TAMPINES ST 11, TAMPINES, Singapore",1.346791,103.94713966216526,328000.0,2017-05,TAMPINES,3 ROOM,111,TAMPINES ST 11,07 TO 09,74.0,Model A,1984.0,66 years 01 month
"847 TAMPINES ST 83, TAMPINES, Singapore",1.3525006,103.93498498949148,332000.0,2017-05,TAMPINES,3 ROOM,847,TAMPINES ST 83,07 TO 09,74.0,Model A,1987.0,69 years 05 months
"280 TAMPINES ST 22, TAMPINES, Singapore",1.3476035,103.95175955706878,337000.0,2017-05,TAMPINES,3 ROOM,280,TAMPINES ST 22,04 TO 06,74.0,Model A,1984.0,66 years 02 months
"898 TAMPINES ST 81, TAMPINES, Singapore",1.34727155,103.93471678536302,337000.0,2017-05,TAMPINES,3 ROOM,898,TAMPINES ST 81,01 TO 03,74.0,Model A,1988.0,69 years 11 months
"251 TAMPINES ST 21, TAMPINES, Singapore",1.3528597,103.9485369,340000.0,2017-05,TAMPINES,3 ROOM,251,TAMPINES ST 21,01 TO 03,74.0,Model A,1985.0,66 years 08 months
"853 TAMPINES ST 83, TAMPINES, Singapore",1.35325535,103.9350316776864,340000.0,2017-05,TAMPINES,3 ROOM,853,TAMPINES ST 83,10 TO 12,74.0,Model A,1987.0,69 years 07 months
"915 TAMPINES ST 91, TAMPINES, Singapore",1.34859895,103.93956141915106,340500.0,2017-05,TAMPINES,3 ROOM,915,TAMPINES ST 91,07 TO 09,73.0,Model A,1984.0,66 years
"145 TAMPINES ST 12, TAMPINES, Singapore",1.34885565,103.94366885976936,350000.0,2017-05,TAMPINES,3 ROOM,145,TAMPINES ST 12,04 TO 06,74.0,Model A,1984.0,66 years 08 months
"269 TAMPINES ST 21, TAMPINES, Singapore",1.3525732719273782,103.95171372210712,355000.0,2017-05,TAMPINES,3 ROOM,269,TAMPINES ST 21,01 TO 03,79.0,Model A,1984.0,65 years 10 months
"235 TAMPINES ST 21, TAMPINES, Singapore",1.3555310500000002,103.94825807571516,360000.0,2017-05,TAMPINES,3 ROOM,235,TAMPINES ST 21,07 TO 09,74.0,Model A,1993.0,75 years 03 months
"453 TAMPINES ST 42, TAMPINES, Singapore",1.35687295,103.95364435,370000.0,2017-05,TAMPINES,4 ROOM,453,TAMPINES ST 42,01 TO 03,84.0,Simplified,1987.0,69 years 07 months
"346 TAMPINES ST 33, TAMPINES, Singapore",1.3513261,103.96270117914,375000.0,2017-05,TAMPINES,4 ROOM,346,TAMPINES ST 33,07 TO 09,109.0,Model A,1996.0,78 years 01 month
"126 SIMEI ST 1, TAMPINES, Singapore",1.3469392999999998,103.95417729200328,380000.0,2017-05,TAMPINES,4 ROOM,126,SIMEI ST 1,01 TO 03,84.0,Simplified,1988.0,69 years 10 months
"487A TAMPINES AVE 9, TAMPINES, Singapore",1.35951515,103.95783128232672,410000.0,2017-05,TAMPINES,4 ROOM,487A,TAMPINES AVE 9,07 TO 09,106.0,Model A,1989.0,71 years 07 months
"374 TAMPINES ST 34, TAMPINES, Singapore",1.3563839,103.95861777635676,410000.0,2017-05,TAMPINES,4 ROOM,374,TAMPINES ST 34,07 TO 09,104.0,Model A,1995.0,77 years 04 months
"908 TAMPINES AVE 4, TAMPINES, Singapore",1.3504382,103.93872908541844,418000.0,2017-05,TAMPINES,4 ROOM,908,TAMPINES AVE 4,01 TO 03,104.0,Model A,1983.0,65 years 05 months
"450E TAMPINES ST 42, TAMPINES, Singapore",1.3575099000000002,103.95302174359335,428000.0,2017-05,TAMPINES,4 ROOM,450E,TAMPINES ST 42,04 TO 06,105.0,Model A,1996.0,78 years 04 months
"444 TAMPINES ST 42, TAMPINES, Singapore",1.3582832,103.95141446682464,430000.0,2017-05,TAMPINES,4 ROOM,444,TAMPINES ST 42,04 TO 06,105.0,Model A,1985.0,67 years
"450C TAMPINES ST 42, TAMPINES, Singapore",1.3572886999999998,103.95239160782248,433000.0,2017-05,TAMPINES,4 ROOM,450C,TAMPINES ST 42,04 TO 06,106.0,Model A,1996.0,78 years 04 months
"242 SIMEI ST 5, TAMPINES, Singapore",1.3433654,103.95432231535057,440000.0,2017-05,TAMPINES,4 ROOM,242,SIMEI ST 5,01 TO 03,105.0,Model A,1997.0,78 years 08 months
"503 TAMPINES CTRL 1, TAMPINES, Singapore",1.35592875,103.94520047932043,440000.0,2017-05,TAMPINES,4 ROOM,503,TAMPINES CTRL 1,01 TO 03,103.0,Model A,1990.0,71 years 09 months
"265 TAMPINES ST 21, TAMPINES, Singapore",1.3522606,103.94985521800552,442000.0,2017-05,TAMPINES,4 ROOM,265,TAMPINES ST 21,07 TO 09,103.0,Model A,1984.0,66 years 04 months
"285 TAMPINES ST 22, TAMPINES, Singapore",1.34960715,103.95234874184308,450000.0,2017-05,TAMPINES,4 ROOM,285,TAMPINES ST 22,10 TO 12,103.0,Model A,1984.0,66 years 03 months
"498J TAMPINES ST 45, TAMPINES, Singapore",1.36336985,103.95692476526536,450000.0,2017-05,TAMPINES,4 ROOM,498J,TAMPINES ST 45,04 TO 06,106.0,Premium Apartment,1997.0,78 years 11 months
"859 TAMPINES AVE 5, TAMPINES, Singapore",1.3546685,103.93807390735746,455500.0,2017-05,TAMPINES,4 ROOM,859,TAMPINES AVE 5,04 TO 06,104.0,Model A,1988.0,70 years 02 months
"221 SIMEI ST 4, TAMPINES, Singapore",1.34165905,103.95651734696727,460000.0,2017-05,TAMPINES,4 ROOM,221,SIMEI ST 4,04 TO 06,104.0,Model A,1988.0,69 years 11 months
"418 TAMPINES ST 41, TAMPINES, Singapore",1.35826065,103.94753849555718,460000.0,2017-05,TAMPINES,4 ROOM,418,TAMPINES ST 41,10 TO 12,104.0,Model A,1985.0,67 years 01 month
"390 TAMPINES AVE 7, TAMPINES, Singapore",1.35611815,103.9576315506326,465000.0,2017-05,TAMPINES,4 ROOM,390,TAMPINES AVE 7,07 TO 09,105.0,Model A,1994.0,75 years 10 months
"248 TAMPINES ST 21, TAMPINES, Singapore",1.35184505,103.9470240887218,500000.0,2017-05,TAMPINES,4 ROOM,248,TAMPINES ST 21,10 TO 12,91.0,New Generation,1984.0,66 years 07 months
"131 SIMEI ST 1, TAMPINES, Singapore",1.34562785,103.9541400658524,505000.0,2017-05,TAMPINES,4 ROOM,131,SIMEI ST 1,04 TO 06,104.0,Model A,1988.0,70 years 04 months
"255 SIMEI ST 1, TAMPINES, Singapore",1.342418,103.95174726532554,505000.0,2017-05,TAMPINES,4 ROOM,255,SIMEI ST 1,04 TO 06,101.0,Model A,1996.0,78 years 04 months
"158 TAMPINES ST 12, TAMPINES, Singapore",1.35142445,103.9458500707302,520000.0,2017-05,TAMPINES,4 ROOM,158,TAMPINES ST 12,07 TO 09,91.0,New Generation,1984.0,66 years 02 months
"496E TAMPINES AVE 9, TAMPINES, Singapore",1.361251,103.94968622498553,440000.0,2017-05,TAMPINES,5 ROOM,496E,TAMPINES AVE 9,01 TO 03,126.0,Improved,1993.0,75 years 03 months
"359 TAMPINES ST 34, TAMPINES, Singapore",1.35551535,103.9619948488222,480000.0,2017-05,TAMPINES,5 ROOM,359,TAMPINES ST 34,01 TO 03,132.0,Model A,1996.0,77 years 10 months
"887A TAMPINES ST 81, TAMPINES, Singapore",1.3501326,103.93150952508329,498000.0,2017-05,TAMPINES,5 ROOM,887A,TAMPINES ST 81,01 TO 03,127.0,Improved,1988.0,70 years 04 months
"496C TAMPINES ST 43, TAMPINES, Singapore",1.3620744500000002,103.95028292917397,501888.0,2017-05,TAMPINES,5 ROOM,496C,TAMPINES ST 43,13 TO 15,123.0,Improved,1993.0,75 years 02 months
"307 TAMPINES ST 32, TAMPINES, Singapore",1.3528902,103.95651892450904,513000.0,2017-05,TAMPINES,5 ROOM,307,TAMPINES ST 32,07 TO 09,138.0,Model A,1993.0,75 years 02 months
"450F TAMPINES ST 42, TAMPINES, Singapore",1.3578999,103.953148880578,520000.0,2017-05,TAMPINES,5 ROOM,450F,TAMPINES ST 42,07 TO 09,123.0,Improved,1996.0,78 years 04 months
"887 TAMPINES ST 81, TAMPINES, Singapore",1.35036355,103.93210824057869,535000.0,2017-05,TAMPINES,5 ROOM,887,TAMPINES ST 81,13 TO 15,122.0,Improved,1988.0,70 years 03 months
"247 SIMEI ST 5, TAMPINES, Singapore",1.3441797,103.95327420181764,559000.0,2017-05,TAMPINES,5 ROOM,247,SIMEI ST 5,01 TO 03,124.0,Improved,1997.0,78 years 08 months
"108 SIMEI ST 1, TAMPINES, Singapore",1.3429722,103.95101418655096,560000.0,2017-05,TAMPINES,5 ROOM,108,SIMEI ST 1,01 TO 03,122.0,Improved,1988.0,70 years 01 month
"102 SIMEI ST 1, TAMPINES, Singapore",1.3412134999999998,103.95118940542164,562000.0,2017-05,TAMPINES,5 ROOM,102,SIMEI ST 1,07 TO 09,122.0,Improved,1988.0,70 years 06 months
"146 SIMEI ST 2, TAMPINES, Singapore",1.34471965,103.95606231918016,563000.0,2017-05,TAMPINES,5 ROOM,146,SIMEI ST 2,07 TO 09,122.0,Improved,1988.0,70 years 04 months
"114 TAMPINES ST 11, TAMPINES, Singapore",1.34597795,103.94678085,568000.0,2017-05,TAMPINES,5 ROOM,114,TAMPINES ST 11,10 TO 12,133.0,Model A,1982.0,64 years 03 months
"231 SIMEI ST 4, TAMPINES, Singapore",1.3436496999999998,103.95688239517042,575000.0,2017-05,TAMPINES,5 ROOM,231,SIMEI ST 4,04 TO 06,127.0,Improved,1989.0,70 years 11 months
"109 SIMEI ST 1, TAMPINES, Singapore",1.3423768,103.95028068813124,590000.0,2017-05,TAMPINES,5 ROOM,109,SIMEI ST 1,07 TO 09,122.0,Improved,1988.0,70 years 05 months
"164 SIMEI RD, TAMPINES, Singapore",1.34596635,103.95864474166666,600000.0,2017-05,TAMPINES,5 ROOM,164,SIMEI RD,10 TO 12,122.0,Improved,1989.0,70 years 10 months
"143 TAMPINES ST 12, TAMPINES, Singapore",1.348073,103.94357945,600000.0,2017-05,TAMPINES,5 ROOM,143,TAMPINES ST 12,04 TO 06,134.0,Model A,1984.0,66 years 02 months
"243 SIMEI ST 5, TAMPINES, Singapore",1.3433805351142052,103.95455843251264,678000.0,2017-05,TAMPINES,5 ROOM,243,SIMEI ST 5,07 TO 09,124.0,Improved,1997.0,78 years 10 months
"515A TAMPINES CTRL 7, TAMPINES, Singapore",1.3569493499999998,103.9383912753336,704000.0,2017-05,TAMPINES,5 ROOM,515A,TAMPINES CTRL 7,10 TO 12,109.0,DBSS,2008.0,90 years 08 months
"495D TAMPINES ST 43, TAMPINES, Singapore",1.36367965,103.95197982386712,540000.0,2017-05,TAMPINES,EXECUTIVE,495D,TAMPINES ST 43,01 TO 03,147.0,Apartment,1994.0,75 years 08 months
"230J TAMPINES ST 21, TAMPINES, Singapore",1.3563207,103.94946845067751,545000.0,2017-05,TAMPINES,EXECUTIVE,230J,TAMPINES ST 21,01 TO 03,149.0,Apartment,1993.0,75 years 02 months
"740 TAMPINES ST 72, TAMPINES, Singapore",1.3593575,103.93280765177364,625000.0,2017-05,TAMPINES,EXECUTIVE,740,TAMPINES ST 72,10 TO 12,141.0,Apartment,1997.0,79 years 04 months
"325 TAMPINES ST 32, TAMPINES, Singapore",1.3527591,103.95916099860328,639999.0,2017-05,TAMPINES,EXECUTIVE,325,TAMPINES ST 32,04 TO 06,146.0,Maisonette,1995.0,77 years 07 months
"311 TAMPINES ST 33, TAMPINES, Singapore",1.3534507,103.95762051455068,643000.0,2017-05,TAMPINES,EXECUTIVE,311,TAMPINES ST 33,04 TO 06,148.0,Apartment,1993.0,75 years 02 months
"330 TAMPINES ST 32, TAMPINES, Singapore",1.3533716,103.95960185628164,680000.0,2017-05,TAMPINES,EXECUTIVE,330,TAMPINES ST 32,04 TO 06,147.0,Maisonette,1995.0,77 years 07 months
"896A TAMPINES ST 81, TAMPINES, Singapore",1.3485344,103.93267005248518,686000.0,2017-05,TAMPINES,EXECUTIVE,896A,TAMPINES ST 81,07 TO 09,146.0,Maisonette,1988.0,70 years 05 months
"144 SIMEI ST 2, TAMPINES, Singapore",1.34531985,103.95550147066837,715000.0,2017-05,TAMPINES,EXECUTIVE,144,SIMEI ST 2,01 TO 03,146.0,Maisonette,1987.0,69 years 07 months
"156 TAMPINES ST 12, TAMPINES, Singapore",1.3515453,103.94483179021856,780000.0,2017-05,TAMPINES,EXECUTIVE,156,TAMPINES ST 12,04 TO 06,150.0,Maisonette,1984.0,66 years 05 months
"161 LOR 1 TOA PAYOH, TOA PAYOH, Singapore",,,205000.0,2017-05,TOA PAYOH,2 ROOM,161,LOR 1 TOA PAYOH,04 TO 06,41.0,Improved,1972.0,53 years 10 months
"58 LOR 4 TOA PAYOH, TOA PAYOH, Singapore",,,210000.0,2017-05,TOA PAYOH,2 ROOM,58,LOR 4 TOA PAYOH,07 TO 09,42.0,Standard,1967.0,49 years 01 month
"234 LOR 8 TOA PAYOH, TOA PAYOH, Singapore",,,261000.0,2017-05,TOA PAYOH,3 ROOM,234,LOR 8 TOA PAYOH,04 TO 06,65.0,Improved,1976.0,58 years 04 months
"1 LOR 7 TOA PAYOH, TOA PAYOH, Singapore",,,270000.0,2017-05,TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,01 TO 03,67.0,Improved,1969.0,51 years 02 months
"169 LOR 1 TOA PAYOH, TOA PAYOH, Singapore",,,290000.0,2017-05,TOA PAYOH,3 ROOM,169,LOR 1 TOA PAYOH,04 TO 06,65.0,Improved,1972.0,54 years 02 months
"112 LOR 1 TOA PAYOH, TOA PAYOH, Singapore",,,290000.0,2017-05,TOA PAYOH,3 ROOM,112,LOR 1 TOA PAYOH,04 TO 06,65.0,Improved,1967.0,49 years 01 month
"38 LOR 5 TOA PAYOH, TOA PAYOH, Singapore",,,298000.0,2017-05,TOA PAYOH,3 ROOM,38,LOR 5 TOA PAYOH,10 TO 12,67.0,Improved,1970.0,51 years 09 months
"125 LOR 1 TOA PAYOH, TOA PAYOH, Singapore",,,300000.0,2017-05,TOA PAYOH,3 ROOM,125,LOR 1 TOA PAYOH,07 TO 09,67.0,Improved,1970.0,51 years 08 months
"100 LOR 1 TOA PAYOH, TOA PAYOH, Singapore",,,305000.0,2017-05,TOA PAYOH,3 ROOM,100,LOR 1 TOA PAYOH,07 TO 09,68.0,Improved,1970.0,51 years 08 months
